student_id,feeder_id,DOB,gender,ethnicity,city,district,program_start,programEnd,program_status,grade_date
1,12,3/20/1983,F,Creole,BELIZE CITY,BELIZE,8/16/2004,5/19/2006,Graduated,6/11/2006
4,12,12/27/1980,F,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/19/2002,5/19/2006,Graduated,6/11/2006
89,13,10/30/1981,F,tw,ORANGE WALK TOWN,ORANGE WALK,8/19/2002,5/19/2006,Graduated,6/11/2006
113,13,5/31/1976,M,Mestizo,BELMOPAN CITY,CAYO,8/18/2008,,Terminated,
551,13,08/04/1981,M,Unknown,CAYO,BELIZE,8/14/2002,,Dropped,
639,30,01/03/1983,M,Unknown,CAYO,BELIZE,3/17/2005,,Dropped,
653,13,7/26/1978,M,Creole,HATTIEVILLE VILLAGE,BELIZE,8/3/2012,,Terminated,
749,13,1/27/1981,M,Oriental,,,8/18/2003,5/30/2005,Graduated,6/18/2005
1217,10,6/21/1983,M,Garifuna,DANGRIGA TOWN,STANN CREEK,1/16/2006,12/14/2007,Graduated,12/14/2007
1303,13,10/21/1983,M,Mestizo,BULLET TREE FALLS,CAYO,8/18/2003,5/30/2005,Graduated,6/18/2005
1353,30,1/22/1984,M,Mestizo,BELMOPAN CITY,CAYO,1/20/2014,,Terminated,
1652,51,1/22/1984,F,Mestizo,CAYO,BELIZE,8/14/2006,12/22/2008,Graduated,12/22/2008
2030,11,3/25/1983,M,Other,SAN PEDRO,BELIZE,8/18/2003,5/30/2005,Graduated,6/18/2005
2077,22,5/30/1980,F,Mestizo,BELMOPAN CITY,CAYO,8/16/2004,5/19/2006,Graduated,6/11/2006
2158,25,4/29/1981,M,Mestizo,BULLET TREE FALLS,CAYO,8/17/2009,,Terminated,
2515,10,04/12/1982,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/20/2001,,Dropped,
2694,11,08/03/1980,M,Mestizo,CAYO,BELIZE,8/16/2004,5/19/2006,Graduated,6/11/2006
2788,13,6/23/1981,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,8/20/2001,5/30/2005,Graduated,6/18/2005
2792,,4/13/1963,,,,,,,,
3136,13,1/16/1981,M,East Indian,-,TOLEDO,8/20/2001,5/30/2005,Graduated,6/18/2005
3301,10,05/01/1981,F,Other,CAYO,CAYO,8/16/2004,12/10/2012,Graduated,1/26/2013
3573,79,3/26/1974,M,Creole,BELIZE CITY,BELIZE,5/18/2010,,Terminated,
3593,30,07/05/1979,M,Mestizo,CAYO,CAYO,8/12/2013,,Terminated,
3641,10,09/10/1982,F,Other,SAN IGNACIO,CAYO,8/20/2001,,Dropped,
3845,13,7/22/1982,F,Other,PUNTA GORDA,TOLEDO,8/20/2001,5/30/2005,Graduated,6/18/2005
3864,33,10/29/1982,F,Creole,PUNTA GORDA,TOLEDO,8/20/2001,12/11/2004,Graduated,12/11/2004
3874,79,01/10/1980,M,Garifuna,DANGRIGA TOWN,STANN CREEK,8/20/2001,,Dropped,
3880,13,12/08/1971,F,Other,BELIZE CITY,BELIZE,8/20/2001,,Dropped,
4258,10,05/08/1983,F,Other,CAYE CAULKER,BELIZE,8/20/2001,,Dropped,
4369,10,3/23/1977,M,Mestizo,SAN NARCISO VILLAGE,COROZAL,8/20/2001,5/30/2005,Graduated,6/18/2005
4395,13,7/28/1983,M,Garifuna,BELMOPAN CITY,CAYO,8/1/2022,,In Process,
4396,13,8/21/1981,F,Oriental,BELMOPAN CITY,CAYO,8/18/2003,5/30/2005,Graduated,6/18/2005
4407,13,10/29/1976,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,8/19/2002,5/30/2005,Graduated,6/18/2005
4446,79,11/21/1983,F,East Indian,-,CAYO,8/1/2018,,Terminated,
4484,13,5/19/1983,F,East Indian,BELMOPAN CITY,CAYO,5/17/2010,,Terminated,
4508,13,5/19/1983,F,East Indian,BELMOPAN CITY,CAYO,1/1/2019,,Terminated,
4518,79,10/19/1980,F,Creole,BELMOPAN CITY,CAYO,8/18/2003,5/18/2007,Graduated,6/9/2007
4538,13,10/25/1974,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/17/2009,7/22/2011,Graduated,1/28/2012
4566,58,3/24/1984,M,Mayan,ROARING CREEK VILLAGE,CAYO,8/20/2003,5/19/2006,Graduated,6/11/2006
4584,7,1/26/1981,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,8/28/2000,5/10/2002,Graduated,6/2/2002
4602,13,02/02/1984,M,Other,BENQUE VIEJO DEL CARMEN,CAYO,8/19/2002,5/27/2004,Graduated,6/13/2004
4639,30,10/04/1981,M,Oriental,BELMOPAN CITY,CAYO,8/28/2000,5/10/2002,Graduated,6/2/2002
4672,30,06/08/1981,M,Mestizo,STANN CREEK,STANN CREEK,8/18/2003,5/30/2005,Graduated,6/18/2005
4699,27,11/16/1973,M,Creole,BELMOPAN CITY,CAYO,8/14/2006,,Dropped,
4706,22,2/24/1982,M,Mestizo,BELMOPAN CITY,CAYO,5/30/2011,,Terminated,
4716,13,12/14/1979,M,Creole,BELMOPAN CITY,CAYO,8/23/2000,5/10/2003,Graduated,6/8/2003
4751,13,6/20/1981,M,Other,CAYO,CAYO,8/15/2002,,Dropped,
4758,20,07/09/1970,F,Other,BELMOPAN CITY,CAYO,8/20/2001,5/27/2004,Graduated,6/13/2004
4788,36,12/10/1981,M,Oriental,BELMOPAN CITY,CAYO,8/18/2003,5/30/2005,Graduated,6/18/2005
4798,10,1/22/1981,M,Creole,BELIZE CITY,BELIZE,1/17/2005,,Dropped,
4818,12,1/22/1981,M,Creole,BELIZE CITY,BELIZE,8/15/2011,12/10/2012,Graduated,1/26/2013
4829,20,01/02/1981,M,Other,BELIZE CITY,BELIZE,6/15/2004,,Dropped,
4859,40,4/20/1982,M,Creole,BELMOPAN CITY,CAYO,8/20/2001,12/11/2004,Graduated,12/11/2004
4869,10,04/06/1980,M,Mestizo,BELIZE CITY,BELIZE,8/23/2001,5/10/2003,Graduated,6/8/2003
4880,28,03/05/1976,M,Other,BELIZE CITY,BELIZE,1/17/2005,,Dropped,
4920,36,7/15/1983,M,Oriental,BELMOPAN CITY,CAYO,8/15/2005,5/18/2007,Graduated,6/9/2007
4929,13,09/08/1983,M,Mestizo,CAYO,CAYO,8/13/2007,12/7/2015,Graduated,2/6/2016
4934,45,12/11/1981,M,Mestizo,SAN IGNACIO,CAYO,8/16/2004,5/26/2009,Graduated,6/20/2009
4963,72,09/09/1983,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/6/2002,,Dropped,
4987,25,10/22/1979,M,Creole,BELMOPAN CITY,CAYO,8/19/2002,5/18/2015,Graduated,6/13/2015
5016,30,06/09/1981,M,Creole,BELIZE CITY,BELIZE,8/19/2002,12/8/2005,Graduated,12/8/2005
5031,10,3/13/1972,M,Creole,BELIZE CITY,BELIZE,8/6/2002,,Dropped,
5055,40,08/04/1981,M,Mestizo,SAN IGNACIO,CAYO,8/6/2002,,Dropped,
5091,13,12/11/1985,M,Caucasian,STANN CREEK,STANN CREEK,8/16/2004,5/19/2006,Graduated,6/9/2007
5116,27,10/15/1983,M,Mestizo,ORANGE WALK DISTRICT,ORANGE WALK,8/6/2002,,Dropped,
5125,13,6/21/1985,M,Creole,BELIZE CITY,BELIZE,1/18/2010,5/22/2012,Graduated,6/16/2012
5142,32,6/13/1983,M,Oriental,BELMOPAN CITY,CAYO,8/18/2004,5/19/2006,Graduated,6/11/2006
5148,30,03/12/1983,M,Mestizo,SAN IGNACIO,CAYO,8/16/2004,5/19/2006,Graduated,6/11/2006
5165,10,12/26/1985,M,Creole,STANN CREEK,STANN CREEK,8/16/2004,5/19/2006,Graduated,6/11/2006
5167,71,11/09/1985,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/16/2004,5/19/2006,Graduated,6/11/2006
5181,13,5/13/1984,M,Creole,COROZAL TOWN,COROZAL,7/30/2004,5/19/2006,Graduated,6/11/2006
5207,27,12/13/1984,M,Garifuna,COROZAL TOWN,COROZAL,8/16/2004,,Dropped,
5237,21,08/12/1982,M,Mestizo,SAN NARCISO VILLAGE,COROZAL,8/16/2004,,Dropped,
5261,25,1/26/1986,M,Creole,BELIZE CITY,BELIZE,8/15/2011,12/7/2015,Graduated,6/11/2016
5265,79,05/05/1984,M,Creole,DANGRIGA TOWN,STANN CREEK,6/1/2021,,In Process,
5287,30,8/19/1977,M,Other,BELIZE CITY,BELIZE,8/17/2009,5/25/2010,Graduated,6/19/2010
5320,13,2/25/1979,F,Other,BELMOPAN CITY,CAYO,8/14/2006,,Terminated,
5337,13,09/01/1980,M,Creole,BELMOPAN CITY,CAYO,8/15/2005,5/18/2007,Graduated,6/9/2007
5359,30,09/06/1985,M,Creole,DANGRIGA TOWN,STANN CREEK,8/14/2006,,Dropped,
5385,10,6/16/1967,M,Mestizo,BELMOPAN CITY,CAYO,8/14/2006,,Terminated,
5388,13,9/14/1977,M,Mestizo,BELMOPAN CITY,CAYO,8/17/2015,12/10/2018,Graduated,6/15/2019
5394,6,9/14/1977,M,Creole,ORANGE WALK DISTRICT,ORANGE WALK,8/18/2003,,Terminated,
5400,10,5/24/1984,M,Mestizo,COROZAL DISTRICT,COROZAL,8/18/2003,,Terminated,
5455,13,10/18/1984,F,Mestizo,BELMOPAN CITY,CAYO,8/18/2003,,Dropped,
5464,79,12/08/1980,M,Garifuna,BELMOPAN CITY,CAYO,8/14/2006,,Terminated,
5483,22,10/24/1986,M,Garifuna,BELMOPAN CITY,CAYO,8/17/2015,5/16/2019,Graduated,6/15/2019
5501,20,10/24/1986,F,Creole,BELIZE CITY,BELIZE,8/20/2008,5/25/2010,Graduated,6/19/2010
5523,10,11/24/1986,M,Creole,BELMOPAN CITY,CAYO,8/20/2008,5/22/2012,Graduated,6/16/2012
5529,79,7/28/1986,M,Mestizo,SAN IGNACIO,CAYO,8/17/2009,5/19/2014,Graduated,6/14/2014
5546,79,09/09/1986,F,Oriental,DANGRIGA TOWN,STANN CREEK,8/15/2005,5/18/2007,Graduated,6/9/2007
5555,79,07/10/1982,M,Creole,BELMOPAN CITY,CAYO,8/20/2008,5/24/2011,Graduated,1/28/2012
5570,79,10/31/1986,M,Mayan,ROARING CREEK VILLAGE,CAYO,8/15/2006,5/25/2010,Graduated,6/19/2010
5576,10,10/30/1975,M,Creole,STANN CREEK,STANN CREEK,1/14/2008,,Terminated,
5595,18,04/06/1980,M,Creole,STANN CREEK,STANN CREEK,8/14/2017,,Terminated,
5606,79,04/06/1980,M,Oriental,ORANGE WALK TOWN,ORANGE WALK,8/13/2007,12/14/2009,Graduated,1/16/2010
5616,79,01/11/1984,M,East Indian,WESTERN HIGHWAY,CAYO,8/17/2009,,Terminated,
5642,79,6/23/1986,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/16/2006,12/20/2010,Graduated,1/29/2011
5661,13,11/05/1986,M,Creole,-,BELIZE,8/13/2007,5/22/2012,Graduated,6/16/2012
5686,79,10/23/1986,M,Other,BELIZE CITY,BELIZE,8/13/2007,5/25/2009,Graduated,6/20/2009
5696,79,11/11/1988,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/16/2004,,Terminated,
5702,49,09/04/1985,M,Other,BELIZE CITY,BELIZE,8/14/2006,5/19/2008,Graduated,6/14/2008
5713,30,1/27/1982,M,Mestizo,,ORANGE WALK,8/13/2007,,Dropped,
5735,79,06/08/1987,M,Creole,BELMOPAN CITY,CAYO,8/13/2007,12/14/2009,Graduated,1/16/2010
5763,79,05/01/1987,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,8/17/2009,,Terminated,
5800,21,2/27/1986,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,1/16/2017,,Terminated,
5819,22,2/27/1986,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,8/14/2006,,Dropped,
5826,79,2/27/1986,M,Mestizo,BELMOPAN CITY,CAYO,8/14/2006,5/19/2008,Graduated,6/14/2008
5833,79,08/05/1987,M,Oriental,COROZAL,COROZAL,8/14/2006,,Terminated,
5845,79,12/01/1986,M,Other,SAN IGNACIO,CAYO,8/16/2004,12/22/2008,Graduated,6/20/2009
5874,30,10/08/1984,M,Oriental,BELMOPAN CITY,CAYO,8/20/2008,5/24/2011,Graduated,6/18/2011
5900,79,10/01/1986,F,Mestizo,SAN IGNACIO,CAYO,8/14/2006,7/24/2009,Graduated,7/24/2009
5923,13,06/04/1980,F,Mestizo,SAN IGNACIO,CAYO,8/14/2006,5/19/2008,Graduated,6/14/2008
5948,30,10/11/1981,M,Creole,BELIZE CITY,BELIZE,8/14/2006,5/19/2008,Graduated,6/14/2008
5973,51,04/03/1984,M,Other,BELIZE CITY,BELIZE,8/14/2006,12/22/2008,Graduated,12/22/2008
5976,79,8/20/1984,M,East Indian,BELIZE CITY,BELIZE,8/13/2007,5/13/2013,Graduated,6/15/2013
5987,79,2/17/1974,M,Creole,BELIZE CITY,BELIZE,1/1/2022,,In Process,
6013,79,01/08/1985,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/13/2007,,Dropped,
6018,79,08/08/1987,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,1/17/2005,,Terminated,
6069,10,10/17/1985,M,Creole,BELMOPAN CITY,CAYO,1/17/2005,,Terminated,
6081,13,11/14/1980,F,Mestizo,ORANGE WALK TOWN,ORANGE WALK,1/17/2005,,Terminated,
6096,13,09/02/1982,F,Mestizo,COROZAL TOWN,COROZAL,6/1/2005,,Terminated,
6111,13,12/06/1982,M,Mestizo,SAN IGNACIO,CAYO,8/17/2015,,Terminated,
6128,10,12/10/1987,M,Creole,BELIZE CITY,BELIZE,8/17/2009,,Terminated,
6153,79,10/05/1987,F,Creole,BELIZE CITY,BELIZE,8/15/2005,5/22/2012,Graduated,6/16/2012
6191,10,8/27/1982,F,Creole,ORANGE WALK TOWN,ORANGE WALK,1/14/2008,5/25/2010,Graduated,6/19/2010
6195,79,5/31/1988,F,Creole,BELIZE CITY,BELIZE,8/13/2007,5/25/2010,Graduated,6/19/2010
6229,12,10/30/1988,F,Mestizo,-,STANN CREEK,8/20/2008,12/10/2012,Graduated,1/26/2013
6243,27,11/03/1986,M,Creole,SAN IGNACIO,CAYO,1/17/2011,7/27/2018,Graduated,6/15/2019
6260,10,6/20/1988,M,Oriental,BELMOPAN CITY,CAYO,1/14/2008,12/20/2010,Graduated,1/29/2011
6287,71,11/18/1987,F,Creole,DANGRIGA TOWN,STANN CREEK,8/13/2007,12/20/2010,Graduated,1/29/2011
6300,79,11/06/1987,F,Mestizo,BURRELL BOOM VILLAGE,BELIZE,8/15/2005,5/25/2009,Graduated,6/20/2009
6309,30,10/07/1985,M,Other,BELMOPAN CITY,CAYO,8/18/2008,5/25/2010,Graduated,6/19/2010
6316,79,02/01/1985,M,Other,BELMOPAN CITY,CAYO,8/20/2008,5/25/2010,Graduated,6/19/2010
6321,84,8/17/1987,M,Mestizo,SAN IGNACIO,CAYO,8/15/2005,5/25/2010,Graduated,6/19/2010
6332,30,01/10/1986,M,Creole,-,BELIZE,8/15/2005,,Terminated,
6366,38,9/15/1985,M,Oriental,BELMOPAN CITY,CAYO,1/19/2009,5/22/2012,Graduated,6/16/2012
6373,13,12/29/1986,M,Creole,JANE USHER AREA,BELIZE,6/21/2010,,Terminated,
6404,45,12/20/1988,M,Mayan,BELMOPAN CITY,CAYO,8/1/2021,,In Process,
6423,26,4/24/1988,M,Mayan,BELMOPAN CITY,CAYO,8/14/2017,,Terminated,
6461,20,4/24/1988,M,Mayan,BELMOPAN CITY,CAYO,8/17/2009,,Transferred,
6467,22,4/24/1988,M,Mayan,,BELIZE,8/15/2005,5/25/2010,Graduated,6/19/2010
6498,20,10/19/1984,M,Creole,BELIZE CITY,BELIZE,8/15/2005,,Terminated,
6524,63,5/28/1985,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,1/14/2008,12/20/2010,Graduated,1/29/2011
6554,33,04/08/1985,M,Creole,BELIZE CITY,BELIZE,8/15/2005,12/8/2014,Graduated,2/7/2015
6591,67,4/25/1986,F,Mestizo,,BELIZE,8/15/2011,7/25/2014,Graduated,2/7/2015
6599,13,2/16/1988,M,Mestizo,BELMOPAN CITY,CAYO,8/13/2018,5/20/2022,Graduated,10/15/2022
6611,2,04/11/1989,M,Creole,BELIZE CITY,BELIZE,8/14/2006,,Terminated,
6623,13,04/09/1971,M,Creole,SAN IGNACIO,CAYO,11/17/2005,,Terminated,
6666,27,07/07/1968,M,Creole,BELIZE CITY,BELIZE,11/22/2005,,Terminated,
6672,25,11/10/1958,M,Creole,BELMOPAN CITY,CAYO,8/17/2009,5/24/2011,Graduated,6/18/2011
6674,13,05/02/1989,M,Creole,INDEPENDENCE VILLAGE,STANN CREEK,1/19/2009,5/24/2011,Graduated,6/18/2011
6713,63,12/07/1989,M,Oriental,BELMOPAN CITY,CAYO,8/20/2008,5/25/2010,Graduated,6/19/2010
6720,40,10/04/1987,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,8/17/2009,5/24/2011,Graduated,6/18/2011
6743,49,10/24/1988,M,Oriental,BELMOPAN CITY,CAYO,1/19/2009,5/24/2011,Graduated,6/18/2011
6756,13,11/07/1988,M,Mestizo,BELIZE CITY,BELIZE,8/15/2011,12/7/2015,Graduated,2/6/2016
6762,30,06/01/1988,M,Mestizo,COROZAL TOWN,COROZAL,8/15/2005,,Dropped,
6793,30,1/31/1985,M,Creole,LADYVILLE VILLAGE,BELIZE,8/16/2010,,Terminated,
6816,13,3/28/1989,F,Creole,BELMOPAN CITY,CAYO,8/1/2020,,Terminated,
6848,30,08/11/1988,M,Mestizo,COROZAL TOWN,COROZAL,8/14/2006,,Dropped,
6853,79,2/18/1986,M,Mestizo,BUTTONWOOD BAY,BELIZE,8/14/2006,,Terminated,
6880,27,7/14/1985,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/14/2006,8/17/2022,Terminated,
6887,49,11/20/1986,M,Mestizo,,ORANGE WALK,8/20/2008,12/20/2010,Graduated,1/29/2011
6896,36,07/11/1988,F,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/20/2008,5/24/2011,Graduated,6/18/2011
6904,30,7/23/1986,M,Garifuna,BELMOPAN CITY,CAYO,8/19/2013,5/18/2015,Graduated,6/13/2015
6934,49,11/05/1988,F,Creole,BELIZE,BELIZE,8/14/2006,,Transferred,
6960,13,01/04/1970,M,Creole,BELIZE CITY,BELIZE,8/14/2006,5/24/2011,Graduated,6/18/2011
7018,72,01/08/1988,M,Mestizo,BELMOPAN CITY,CAYO,1/1/2020,,In Process,
7020,10,8/24/1988,M,Mestizo,BELMOPAN CITY,CAYO,8/19/2013,,Terminated,
7026,49,06/03/1988,F,Mestizo,BELIZE CITY,BELIZE,1/15/2007,,Transferred,
7065,13,3/15/1988,M,Mestizo,BELMOPAN CITY,CAYO,1/18/2010,5/19/2014,Graduated,6/14/2014
7079,20,04/06/1989,M,Mestizo,SAN IGNACIO,CAYO,8/13/2007,,Terminated,
7090,48,1/23/1988,M,Creole,-,STANN CREEK,8/18/2014,,terminated,
7096,30,1/20/1989,M,Other,BELMOPAN CITY,CAYO,8/17/2009,5/24/2011,Graduated,6/18/2011
7126,47,08/09/1986,M,Mestizo,BELMOPAN CITY,CAYO,8/17/2009,5/13/2013,Graduated,6/15/2013
7135,22,05/01/1988,M,Other,BELMOPAN CITY,CAYO,8/13/2007,,Terminated,
7186,30,9/26/1979,M,Creole,BELIZE CITY,BELIZE,1/18/2010,5/13/2013,Graduated,6/15/2013
7217,32,06/09/1989,M,Mestizo,-,CAYO,8/18/2014,,Terminated,
7226,33,4/28/1990,M,Mestizo,STANN CREEK DISTRICT,BELIZE,8/16/2010,5/22/2012,Graduated,6/16/2012
7253,27,2/14/1990,F,Creole,LORDS BANK,BELIZE,8/13/2007,,Terminated,
7258,30,02/12/1989,F,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/13/2007,5/25/2010,Graduated,6/19/2010
7293,13,5/26/1986,M,Creole,BELIZE CITY,BELIZE,1/16/2012,,Terminated,
7335,32,4/23/1987,M,Mayan,SAN IGNACIO,CAYO,8/13/2007,,Terminated,
7340,18,10/02/1988,F,Oriental,BELMOPAN CITY,CAYO,8/17/2009,5/24/2011,Graduated,6/18/2011
7407,13,6/15/1987,M,Mestizo,BELMOPAN CITY,CAYO,1/14/2013,,Terminated,
7424,18,02/07/1988,M,Garifuna,DANGRIGA TOWN,STANN CREEK,1/17/2011,12/9/2013,Graduated,1/25/2014
7430,45,12/28/1989,F,Creole,BELMOPAN CITY,CAYO,8/17/2009,5/24/2011,Graduated,6/18/2011
7439,13,08/06/1989,M,Creole,DANGRIGA TOWN,STANN CREEK,8/17/2009,,Terminated,
7448,36,8/26/1990,M,Mestizo,SAN IGNACIO,CAYO,8/13/2007,5/25/2009,Graduated,6/20/2009
7452,12,07/10/1990,F,Mestizo,BELMOPAN CITY,CAYO,8/17/2009,5/22/2012,Graduated,6/16/2012
7457,20,5/29/1986,M,Mestizo,BELIZE CITY,BELIZE,8/19/2013,5/18/2015,Graduated,6/13/2015
7467,45,9/13/1990,M,Mestizo,-,CAYO,8/15/2011,5/16/2016,Graduated,6/11/2016
7477,11,2/23/1990,F,Mestizo,BELIZE CITY,BELIZE,8/1/2018,,Dropped,
7492,58,11/15/1990,M,Creole,BURRELL BOOM VILLAGE,BELIZE,8/18/2008,5/24/2011,Graduated,6/18/2011
7505,47,10/15/1987,F,Mayan,BELMOPAN CITY,CAYO,4/14/2014,5/16/2016,Graduated,6/11/2016
7512,22,2/20/1987,F,Creole,CAMALOTE VILLAGE,CAYO,1/7/2008,,Terminated,
7535,48,11/24/1990,M,Creole,BELMOPAN CITY,CAYO,8/19/2013,,Terminated,
7575,72,04/08/1984,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,1/16/2012,5/16/2016,Graduated,2/11/2017
7581,37,06/06/1980,M,Creole,BELIZE CITY,BELIZE,8/16/2010,5/13/2013,Graduated,6/15/2013
7631,25,10/26/1990,M,Mayan,BENQUE VIEJO DEL CARMEN,CAYO,8/16/2010,5/22/2012,Graduated,6/16/2012
7662,36,6/29/1990,M,Mayan,BELMOPAN CITY,CAYO,8/16/2010,5/16/2016,Graduated,6/11/2016
7687,13,7/15/1990,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,8/16/2010,5/22/2012,Graduated,6/16/2012
7707,13,8/20/1992,M,Mayan,-,CAYO,8/16/2010,12/8/2014,Graduated,2/7/2015
7710,13,2/26/1990,M,Creole,BELMOPAN CITY,CAYO,8/16/2010,5/22/2012,Graduated,6/24/2012
7746,32,9/18/1987,F,East Indian,BELIZE DISTRICT,BELIZE,1/20/2014,,Dropped,
7755,30,09/11/1991,M,Oriental,BELMOPAN CITY,CAYO,1/18/2010,,Terminated,
7770,27,12/14/1987,F,Creole,BELMOPAN CITY,CAYO,8/13/2012,,Transferred,
7800,30,1/31/1981,M,Mestizo,ORANGE WALK DISTRICT,BELIZE,1/18/2010,5/22/2012,Graduated,6/16/2012
7842,37,6/20/1992,M,Mestizo,BELIZE CITY,BELIZE,8/13/2012,7/25/2014,Graduated,2/7/2015
7869,27,4/26/1988,F,Creole,BELMOPAN CITY,CAYO,8/15/2011,5/13/2013,Graduated,6/15/2013
7902,25,08/01/1989,F,Oriental,BELMOPAN CITY,CAYO,8/15/2011,5/13/2013,Graduated,6/15/2013
7914,30,06/01/1992,M,Mestizo,SAN LAZARO VILLAGE,ORANGE WALK,8/15/2011,5/13/2013,Graduated,6/15/2013
7950,20,10/12/1991,M,Oriental,BELMOPAN CITY,CAYO,8/15/2011,7/19/2013,Graduated,1/25/2014
7962,48,2/27/1993,F,Mestizo,BELIZE CITY,BELIZE,8/17/2009,,Terminated,
7973,30,07/07/1990,M,Mestizo,BELMOPAN CITY,CAYO,8/17/2009,,Terminated,
8005,30,4/26/1990,F,Creole,BELIZE CITY,BELIZE,8/17/2009,5/13/2013,Graduated,6/15/2013
